Series Name	Series Code	Country Name	Country Code	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Afghanistan	AFG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Albania	ALB	..	..	0.1	..	..	..	..	..	0.3	..	..	0.1	..	..	0.1	..	..	..	0.2	..	0.2	0.1	0.1	0.2	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Algeria	DZA	..	1.1	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.2	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Angola	AGO	..	..	..	..	..	..	16.4	..	..	..	..	..	..	..	11.6	..	..	..	..	..	..	..	..	..	22.7
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Argentina	ARG	1.6	2.6	3.1	2.6	2.6	2.9	3.4	5.5	6.8	2.9	2	1.4	1.2	1	0.9	0.8	0.5	0.4	0.4	0.4	0.4	..	0.4	0.3	0.4
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Armenia	ARM	..	..	..	..	..	2.9	..	3.1	2.2	1.2	1.3	0.6	0.3	0.3	0.2	0.2	0.2	0.2	0.2	0.4	0.2	0.2	0.2	0.1	0.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Australia	AUS	..	0.6	..	..	..	..	..	0.6	..	0.8	0.4	..	..	..	0.3	..	0.3	..	..	..	0.4	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Austria	AUT	0.2	1	..	0.2	..	..	0	..	..	0.3	0.1	0.1	0	0.3	0.2	0.5	0.4	0.3	0.4	0.2	0.1	0.6	0.6	0.2	0.5
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Azerbaijan	AZE	..	2.1	..	..	..	..	..	0.4	0	0	0	0	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Bangladesh	BGD	..	8	..	..	..	..	7.8	..	..	..	..	4.9	..	..	..	..	3.5	..	..	..	..	..	2.6	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Belarus	BLR	..	..	..	..	2.8	2.7	1.8	0.7	0.5	0.4	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Belgium	BEL	..	0.4	..	0.3	..	..	0.3	..	..	0.2	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Belize	BLZ	4.5	..	5.5	7.7	5.8	6	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Benin	BEN	..	..	..	..	..	..	..	..	..	17.5	..	..	..	..	..	..	..	19.1	..	..	..	22.4	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Bhutan	BTN	..	..	..	..	..	..	..	..	..	3.3	..	..	..	1.6	..	..	..	..	0.4	..	..	..	..	0.2	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Bolivia	BOL	..	..	..	10	..	15.3	17.5	12.3	13.3	..	6	9.9	8	5.9	5	5	..	3	3.9	3.1	2.5	2.8	3.4	2.9	1.9
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Bosnia and Herzegovina	BIH	..	..	..	..	..	..	..	0.1	..	..	0.1	..	..	0	..	..	..	0	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Botswana	BWA	..	..	..	..	..	..	..	..	10.7	..	..	..	..	..	..	5.3	..	..	..	..	..	3.9	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Brazil	BRA	..	5.3	6.1	5.9	5.2	5.4	..	4.6	3.8	4.3	3.6	3.1	2.7	2.8	2.2	2.1	..	1.9	1.4	1	0.9	1.1	1.4	1.6	1.6
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Bulgaria	BGR	..	..	..	..	..	..	..	..	..	..	..	..	2.7	0.7	0.4	0.3	0.7	1	0.8	0.7	0.5	1.4	0.7	0.4	0.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Burkina Faso	BFA	48.6	..	..	..	43.1	..	..	..	..	23.8	..	..	..	..	..	20.1	..	..	..	..	11.2	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Burundi	BDI	..	..	..	..	45.6	..	..	..	..	..	..	..	33.7	..	..	..	..	..	..	31.1	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Cabo Verde	CPV	..	..	..	..	..	..	..	4.7	..	..	..	..	..	1.9	..	..	..	..	..	..	..	0.7	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Cambodia	KHM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Cameroon	CMR	..	..	17	..	..	..	..	7	..	..	..	..	..	9.4	..	..	..	..	..	..	8.4	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Canada	CAN	0.2	..	..	0.2	0.2	..	0.1	..	..	..	0.1	..	..	0.1	..	..	0.1	..	0.1	0.1	0.1	0.1	0.1	0.1	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Central African Republic	CAF	..	..	..	..	..	..	..	..	..	..	..	..	..	..	32.8	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Chad	TCD	..	..	..	..	..	..	..	..	..	24.5	..	..	..	..	..	..	..	15.2	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Chile	CHL	1.8	..	1.2	..	1.3	..	1.8	..	..	1.7	..	..	0.5	..	..	0.5	..	0.2	..	0.2	..	0.1	..	0.2	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	China	CHN	..	..	12.9	..	..	13.1	..	..	10.1	..	..	4.9	..	..	3.9	..	2.7	1.8	1.4	0.4	0.3	0.2	0.1	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Colombia	COL	..	..	9.2	..	..	11.1	11.1	10.4	4.8	4.6	3.7	3.4	..	..	4.1	3.4	2.8	2.3	2.3	2.2	2	1.7	1.8	1.6	1.7
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Comoros	COM	..	..	..	..	..	..	..	..	..	..	4.3	..	..	..	..	..	..	..	..	..	6.8	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Congo, Dem. Rep.	COD	..	..	..	..	..	..	..	..	..	..	64.1	..	..	..	..	..	..	..	39.3	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Congo, Rep.	COG	..	..	..	..	..	..	..	..	..	..	..	22.9	..	..	..	..	..	16.2	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Costa Rica	CRI	3.6	3.8	4.3	3.1	2.4	3.1	3.3	2.2	2.1	2	1.8	1.1	1.3	0.7	0.9	1.1	0.7	0.7	0.6	0.6	0.6	0.6	0.5	0.4	0.6
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Cote d'Ivoire	CIV	..	5.2	..	..	8.3	..	..	..	7.7	..	..	..	..	..	11	..	..	..	..	..	..	9.8	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Croatia	HRV	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.7	0.9	0.4	0.5	0.5	0.6	0.4	0.3	0.3	0.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Cyprus	CYP	..	..	..	..	..	..	..	..	..	..	0.1	0	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Czech Republic	CZE	..	..	0	..	..	..	..	..	0	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Denmark	DNK	..	0	..	..	..	..	0	..	..	0.2	0.2	0.1	0	0	0.1	0.1	0	0	0	0.3	0.1	0.1	0.2	0.1	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Djibouti	DJI	..	..	..	..	..	..	..	..	5.9	..	..	..	..	..	..	..	..	..	7.8	7.4	..	..	..	5.6	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Dominican Republic	DOM	..	..	1.9	2	..	..	1.8	1.1	1.9	2.2	2.7	1.7	1.2	1.2	1	0.8	0.6	0.7	0.7	0.5	0.5	0.5	0.5	0.3	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Ecuador	ECU	7.7	..	..	..	..	9.8	11.7	..	..	5.8	6.2	4.5	2.9	3.2	2.9	2.6	1.9	1.8	1.5	1	0.8	1.2	1.3	1.1	1
