Series Name	"Series Code"	"Country Name"	"Country Code"	"2016 [YR2016]"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Afghanistan"	"AFG"	"0.245101422350223"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Albania"	"ALB"	"1.57716262398295"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Algeria"	"DZA"	"3.69915598976548"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"American Samoa"	"ASM"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Andorra"	"AND"	"6.07237020841688"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Angola"	"AGO"	"1.20286057885999"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Antigua and Barbuda"	"ATG"	"5.89655865519904"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Argentina"	"ARG"	"4.61908548237078"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Armenia"	"ARM"	"1.75597603116466"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Aruba"	"ABW"	"8.42691090090777"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Australia"	"AUS"	"15.5392204599852"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Austria"	"AUT"	"7.03333570647299"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Azerbaijan"	"AZE"	"3.85534718233965"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bahamas, The"	"BHS"	"4.72527789464214"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bahrain"	"BHR"	"22.2289809656535"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bangladesh"	"BGD"	"0.533298791093343"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Barbados"	"BRB"	"4.46512897311369"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Belarus"	"BLR"	"6.13370756764118"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Belgium"	"BEL"	"8.55051325420587"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Belize"	"BLZ"	"1.54284744842562"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Benin"	"BEN"	"0.595647727336485"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bermuda"	"BMU"	"9.48646094742386"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bhutan"	"BTN"	"1.71227445300655"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bolivia"	"BOL"	"1.95851434392516"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bosnia and Herzegovina"	"BIH"	"6.451938373436"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Botswana"	"BWA"	"2.93537378746856"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Brazil"	"BRA"	"2.24239344567735"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"British Virgin Islands"	"VGB"	"7.2453074433657"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Brunei Darussalam"	"BRN"	"18.2563839923773"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Bulgaria"	"BGR"	"5.85150106161461"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Burkina Faso"	"BFA"	"0.183287285069519"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Burundi"	"BDI"	"0.0472010959574935"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Cabo Verde"	"CPV"	"1.02178308788921"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Cambodia"	"KHM"	"0.629141866131753"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Cameroon"	"CMR"	"0.346522620760152"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Canada"	"CAN"	"15.0900564718629"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Cayman Islands"	"CYM"	"8.73248733398328"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Central African Republic"	"CAF"	"0.0654577982130544"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Chad"	"TCD"	"0.0697556859222015"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Channel Islands"	"CHI"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Chile"	"CHL"	"4.71317192071555"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"China"	"CHN"	"7.17580989725568"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Colombia"	"COL"	"2.030378008134"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Comoros"	"COM"	"0.253503051815503"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Congo, Dem. Rep."	"COD"	"0.0256446171817591"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Congo, Rep."	"COG"	"0.658896940151966"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Costa Rica"	"CRI"	"1.63764666501338"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Cote d'Ivoire"	"CIV"	"0.406063977429272"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Croatia"	"HRV"	"4.18937731368412"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Cuba"	"CUB"	"2.49521826389142"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Curacao"	"CUW"	"33.7614615692955"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Cyprus"	"CYP"	"5.66257273410147"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Czech Republic"	"CZE"	"9.6738986622794"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Denmark"	"DNK"	"5.54914464185642"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Djibouti"	"DJI"	"0.6670057000663"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Dominica"	"DMA"	"2.51985078603784"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Dominican Republic"	"DOM"	"2.42920949286783"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ecuador"	"ECU"	"2.49557055420449"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Egypt, Arab Rep."	"EGY"	"2.52586286634698"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"El Salvador"	"SLV"	"1.12788290005433"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Equatorial Guinea"	"GNQ"	"4.65323544926303"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Eritrea"	"ERI"	"0.210687333077057"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Estonia"	"EST"	"12.6080210367916"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Eswatini"	"SWZ"	"1.0369134565667"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ethiopia"	"ETH"	"0.143524927791774"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Faroe Islands"	"FRO"	"13.0928943599112"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Fiji"	"FJI"	"2.34547036390459"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Finland"	"FIN"	"8.34721998040872"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"France"	"FRA"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"French Polynesia"	"PYF"	"2.80458891013384"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Gabon"	"GAB"	"2.64997686606673"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Gambia, The"	"GMB"	"0.247408380751548"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Georgia"	"GEO"	"2.71716711312258"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Germany"	"DEU"	"8.84012879430996"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ghana"	"GHA"	"0.585289432119561"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Gibraltar"	"GIB"	"18.8040133977532"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Greece"	"GRC"	"5.79384836874561"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Greenland"	"GRL"	"9.07188623500516"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Grenada"	"GRD"	"2.4277940522941"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guam"	"GUM"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guatemala"	"GTM"	"1.05994778770623"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guinea"	"GIN"	"0.255224607765205"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guinea-Bissau"	"GNB"	"0.164583657094192"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guyana"	"GUY"	"3.0900376734261"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Haiti"	"HTI"	"0.274687476072351"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Honduras"	"HND"	"1.05847362604825"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Hong Kong SAR, China"	"HKG"	"5.94889103944606"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Hungary"	"HUN"	"4.63997343393224"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Iceland"	"ISL"	"6.15468386204347"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"India"	"IND"	"1.81778338639117"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Indonesia"	"IDN"	"2.15375812738732"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Iran, Islamic Rep."	"IRN"	"8.31670123338168"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Iraq"	"IRQ"	"5.19140478099367"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ireland"	"IRL"	"7.93034097492606"
